rule,g,target,attributor,focal,lds,p_onesided,n_masks,ci_lo,ci_hi,ceiling,bar_half_ceiling,ratio,PASS
dtw,1,C7,IF,False,0.21565217391304345,0.15575722456425548,24,-0.21054240550959233,0.5746263678540775,0.9151966795585321,0.45759833977926606,0.23563478619379238,False
dtw,1,C7,TRAK,False,0.3834782608695652,0.03217069904610962,24,-0.08245183937406139,0.7216939966488652,0.9151966795585321,0.45759833977926606,0.4190118577075099,False
dtw,1,C7,TracIn,False,0.38434782608695645,0.03184411200906028,24,-0.06428656880941533,0.6956711849584609,0.9151966795585321,0.45759833977926606,0.4199619979744203,False
dtw,1,C8,IF,False,-0.3313043478260869,0.9431122532625987,24,-0.6461419262470952,0.06089438308798682,0.9097459233978006,0.4548729616989003,-0.3641723906700255,False
dtw,1,C8,TRAK,False,0.3217391304347825,0.06261972933243162,24,-0.08878247575952593,0.6873629040734617,0.9097459233978006,0.4548729616989003,0.3536582271598672,False
dtw,1,C8,TracIn,False,-0.2452173913043478,0.8759393504622491,24,-0.5556731286460218,0.18114211084191376,0.9097459233978006,0.4548729616989003,-0.26954491907860156,False
dtw,1,C9,IF,False,0.02434782608695652,0.4550437100394768,24,-0.41100920149509906,0.4161737185337207,0.8945496491396712,0.4472748245698356,0.02721797064072735,False
dtw,1,C9,TRAK,False,-0.19652173913043475,0.8213129652420481,24,-0.5807464725630977,0.2587708500655686,0.8945496491396712,0.4472748245698356,-0.21968790588587073,False
dtw,1,C9,TracIn,False,0.46173913043478254,0.011562029635097568,24,0.03502100467600056,0.7588908699542761,0.8945496491396712,0.4472748245698356,0.5161693717937936,True
dtw,3,C1,IF,True,0.01652173913043478,0.46946143347275515,24,-0.4263147716539818,0.433058927289179,0.9327641408751334,0.4663820704375667,0.01771266540642722,False
dtw,3,C1,TRAK,True,0.1643478260869565,0.22142307561966984,24,-0.28141782844256735,0.5596478960967983,0.9327641408751334,0.4663820704375667,0.1761944085165655,False
dtw,3,C1,TracIn,True,0.2617391304347826,0.10832584897664314,24,-0.16747395757121142,0.6279079922819133,0.9327641408751334,0.4663820704375667,0.28060590985971545,False
dtw,3,C2,IF,False,0.3652173913043478,0.0396399453050445,24,-0.009269792350266162,0.6637699636607932,0.9115002366303833,0.45575011831519163,0.4006772314777191,False
dtw,3,C2,TRAK,False,0.35130434782608694,0.046158627305053934,24,-0.07533004047514162,0.6710661537758064,0.9115002366303833,0.45575011831519163,0.38541333694523455,False
dtw,3,C2,TracIn,False,-0.005217391304347826,0.5096516583732105,24,-0.47890702196993595,0.47328520941005237,0.9115002366303833,0.45575011831519163,-0.005723960449681701,False
dtw,3,C3,IF,False,-0.248695652173913,0.8793691165560228,24,-0.612131803437923,0.21154229406554473,0.6441876915821739,0.32209384579108696,-0.38606085683366226,False
dtw,3,C3,TRAK,False,-0.14260869565217388,0.746895383023573,24,-0.4976080828387243,0.2819467606204031,0.6441876915821739,0.32209384579108696,-0.22137755426825384,False
dtw,3,C3,TracIn,False,0.2652173913043478,0.10519194893657419,24,-0.14561489202580166,0.5945910803417369,0.6441876915821739,0.32209384579108696,0.41170825641352093,False
dtw,3,C4,IF,False,0.09739130434782609,0.3253728234944581,24,-0.324082749850589,0.5346879171110419,0.7945492662473793,0.39727463312368966,0.12257428014225079,False
dtw,3,C4,TRAK,False,0.1252173913043478,0.2799492678952415,24,-0.3295404814004377,0.5332181831989856,0.7945492662473793,0.39727463312368966,0.15759550304003672,False
dtw,3,C4,TracIn,False,0.3017391304347826,0.07593572655787045,24,-0.17472751890009733,0.7015568650198812,0.7945492662473793,0.39727463312368966,0.37976138579786634,False
dtw,3,C5,IF,True,0.31565217391304345,0.06647860626956326,24,-0.0952084680673279,0.6071794849410738,0.9177998400225849,0.45889992001129243,0.3439226726224707,False
dtw,3,C5,TRAK,True,0.15739130434782608,0.23132454583183845,24,-0.29241962749043265,0.5630691768826618,0.9177998400225849,0.45889992001129243,0.17148761362167275,False
dtw,3,C5,TracIn,True,0.22434782608695653,0.14596160297262006,24,-0.1560453494909114,0.5772079753303898,0.9177998400225849,0.45889992001129243,0.24444090781431807,False
dtw,3,C6,IF,False,-0.3121739130434782,0.9312409852039282,24,-0.6723156392814473,0.09629711698341341,0.940385146963973,0.4701925734819865,-0.3319638916579335,False
dtw,3,C6,TRAK,False,0.2869565217391304,0.0869871209518322,24,-0.16143462008814236,0.6404676036068292,0.940385146963973,0.4701925734819865,0.30514786698361573,False
dtw,3,C6,TracIn,False,0.39999999999999997,0.026389940701283983,24,0.0025635407537248065,0.6867102302673044,0.940385146963973,0.4701925734819865,0.4253576327650402,False
dtw,3,C7,IF,False,0.42260869565217385,0.01982589933809774,24,-0.07856933636239323,0.7520960742505957,0.9151966795585321,0.45759833977926606,0.4617681697184803,False
dtw,3,C7,TRAK,False,0.5826086956521739,0.0014067262238315792,24,0.21378484826050778,0.814448095668008,0.9151966795585321,0.45759833977926606,0.6365939788300037,True
dtw,3,C7,TracIn,False,0.29304347826086957,0.08230892635029412,24,-0.15011541521935395,0.6263789118620775,0.9151966795585321,0.45759833977926606,0.3201972699488228,False
dtw,3,C8,IF,False,-0.25478260869565217,0.8852205179028918,24,-0.5626862401402278,0.12975087760644102,0.9097459233978006,0.4548729616989003,-0.2800590825887598,False
dtw,3,C8,TRAK,False,0.013043478260869565,0.4758823434001502,24,-0.5242155354539919,0.4960781359385291,0.9097459233978006,0.4548729616989003,0.014337495695670296,False
dtw,3,C8,TracIn,False,-0.2539130434782608,0.8843963174162729,24,-0.5950842527814589,0.20788567575337608,0.9097459233978006,0.4548729616989003,-0.27910324954238175,False
dtw,3,C9,IF,False,0.15130434782608695,0.2401729514896836,24,-0.3085339168490153,0.5523629817623118,0.8945496491396712,0.4472748245698356,0.16914024612451997,False
dtw,3,C9,TRAK,False,-0.08347826086956521,0.6509196996606288,24,-0.4729848269909924,0.33218086427984184,0.8945496491396712,0.4472748245698356,-0.09331875648249377,False
dtw,3,C9,TracIn,False,0.5556521739130434,0.002408700523166543,24,0.15406506670176984,0.7988694371031339,0.8945496491396712,0.4472748245698356,0.6211529728365991,True
dtw,5,C1,IF,True,0.1208695652173913,0.28685486759793344,24,-0.3718393101509695,0.566475200203675,0.9327641408751334,0.4663820704375667,0.1295821311312307,False
dtw,5,C1,TRAK,True,-0.07739130434782608,0.6403664272283376,24,-0.507114200880524,0.34273641230151525,0.9327641408751334,0.4663820704375667,-0.08296985374589592,False
dtw,5,C1,TracIn,True,0.13043478260869562,0.27176298760879264,24,-0.3246234422607617,0.5130954781353466,0.9327641408751334,0.4663820704375667,0.13983683215600434,False
dtw,5,C2,IF,False,0.19304347826086957,0.18305791748556993,24,-0.23055509549036435,0.5580793551860478,0.9115002366303833,0.45575011831519163,0.21178653663822297,False
