group,density,n_ckpt,lr_weighted,estimator,target,lds,ceiling,ratio,p,n,passed
embed,last2,2,False,TracIn_trunc_k1,C5,0.17130434782608694,0.8444377100886411,0.202862029702706,0.21175156839220233,24,False
embed,last2,2,False,TracIn_trunc_k5,C1,0.18086956521739128,0.82979067062928,0.21797011176352107,0.19883710370845206,24,False
embed,last2,2,False,TracIn_trunc_k5,C5,0.10956521739130433,0.8444377100886411,0.1297493184900556,0.3051509892642315,24,False
embed,last3,3,True,TracIn,C1,0.00608695652173913,0.82979067062928,0.0073355326074261915,0.4887401008238579,24,False
embed,last3,3,True,TracIn,C5,0.09999999999999999,0.8444377100886411,0.11842199703457457,0.32099661480339436,24,False
embed,last3,3,True,TracIn_trunc_k1,C1,0.011304347826086955,0.82979067062928,0.013623131985220067,0.4790950814005541,24,False
embed,last3,3,True,TracIn_trunc_k1,C5,0.09217391304347824,0.8444377100886411,0.10915418857099915,0.3341922595797608,24,False
embed,last3,3,True,TracIn_trunc_k5,C1,0.1060869565217391,0.82979067062928,0.12784785401514218,0.31087575443355925,24,False
embed,last3,3,True,TracIn_trunc_k5,C5,0.23217391304347823,0.8444377100886411,0.2749449844194035,0.1374826205915888,24,False
embed,last3,3,False,TracIn,C1,0.07304347826086956,0.82979067062928,0.08802639128911428,0.36723356708841454,24,False
embed,last3,3,False,TracIn,C5,0.16869565217391302,0.8444377100886411,0.19977276021484752,0.21535113086049065,24,False
embed,last3,3,False,TracIn_trunc_k1,C1,0.00608695652173913,0.82979067062928,0.0073355326074261915,0.4887401008238579,24,False
embed,last3,3,False,TracIn_trunc_k1,C5,0.20173913043478262,0.8444377100886411,0.2389035070610548,0.17224651570369892,24,False
embed,last3,3,False,TracIn_trunc_k5,C1,0.13826086956521738,0.82979067062928,0.16662138351153777,0.25969557472957305,24,False
embed,last3,3,False,TracIn_trunc_k5,C5,0.1826086956521739,0.8444377100886411,0.2162488641500927,0.19653749655614708,24,False
embed,last5,5,True,TracIn,C1,-0.10869565217391304,0.82979067062928,-0.13099165370403912,0.6934219011296834,24,False
embed,last5,5,True,TracIn,C5,0.2617391304347826,0.8444377100886411,0.3099567052817995,0.10832584897664314,24,False
embed,last5,5,True,TracIn_trunc_k1,C1,-0.12347826086956522,0.82979067062928,-0.14880651860778846,0.7172975024289017,24,False
embed,last5,5,True,TracIn_trunc_k1,C5,0.27391304347826084,0.8444377100886411,0.324373296225139,0.097625940537208,24,False
embed,last5,5,True,TracIn_trunc_k5,C1,-0.17391304347826084,0.82979067062928,-0.20958664592646256,0.7918150023532219,24,False
embed,last5,5,True,TracIn_trunc_k5,C5,0.36695652173913035,0.8444377100886411,0.43455724129209095,0.038876808014297846,24,False
embed,last5,5,False,TracIn,C1,-0.10956521739130433,0.82979067062928,-0.13203958693367143,0.6948490107357685,24,False
embed,last5,5,False,TracIn,C5,0.2982608695652174,0.8444377100886411,0.3532064781118181,0.07844164980533383,24,False
embed,last5,5,False,TracIn_trunc_k1,C1,-0.11565217391304347,0.82979067062928,-0.13937511954109763,0.7047608415565794,24,False
embed,last5,5,False,TracIn_trunc_k1,C5,0.3052173913043478,0.8444377100886411,0.3614445300794406,0.07348700867227154,24,False
embed,last5,5,False,TracIn_trunc_k5,C1,-0.1695652173913043,0.82979067062928,-0.204346979778301,0.7858523747982054,24,False
embed,last5,5,False,TracIn_trunc_k5,C5,0.32608695652173914,0.8444377100886411,0.3861586859823084,0.059964581129582424,24,False
embed,evenly3,3,True,TracIn,C1,-0.1034782608695652,0.82979067062928,-0.12470405432624523,0.6848024645753231,24,False
embed,evenly3,3,True,TracIn,C5,0.20434782608695648,0.8444377100886411,0.2419927765489132,0.169078624256588,24,False
embed,evenly3,3,True,TracIn_trunc_k1,C1,-0.11391304347826085,0.82979067062928,-0.137279253081833,0.7019429746652933,24,False
embed,evenly3,3,True,TracIn_trunc_k1,C5,0.17565217391304347,0.8444377100886411,0.2080108121824701,0.20582572348752698,24,False
embed,evenly3,3,True,TracIn_trunc_k5,C1,-0.17478260869565218,0.82979067062928,-0.21063457915609493,0.7929964887957083,24,False
