source,agg,lam_rel,beta,target,dG,dH,dI,d_pooled
cachedE20_full,dmean,0.1,0.5,C2,-0.21304347826086956,-0.10521739130434779,0.1852173913043478,-0.008843012412373799
cachedE20_full,dmean,0.1,0.5,C3,-0.25565217391304346,0.437391304347826,-0.3826086956521739,-0.02958389607048685
cachedE20_full,dmean,0.1,0.5,C4,-0.009565217391304393,-0.9521739130434781,-0.4252173913043477,-0.46446716830664364
cachedE20_full,dmean,0.1,0.5,C5,-0.2669565217391305,-0.14086956521739127,-0.45304347826086955,-0.3537204964949515
cachedE20_full,dmean,0.1,0.5,C6,-0.04782608695652174,0.13826086956521738,-0.5765217391304347,-0.13753296031899162
cachedE20_full,dmean,0.1,0.5,C7,0.16347826086956518,0.32347826086956516,0.04869565217391306,0.2092095954723777
cachedE20_full,dmean,0.1,0.5,C8,0.3678260869565217,-0.48260869565217385,-0.25652173913043474,-0.11007138722747445
cachedE20_full,dmean,0.1,0.5,C9,-0.5113043478260869,-0.07217391304347828,0.01304347826086956,-0.20920959547237766
cachedE20_full,dmean,0.1,1.0,C1,-0.426086956521739,-0.1643478260869565,0.4165217391304347,-0.1387549038523378
cachedE20_full,dmean,0.1,1.0,C2,-0.1565217391304348,-0.10086956521739127,0.4339130434782609,0.08190237314296739
cachedE20_full,dmean,0.1,1.0,C3,-0.1669565217391304,0.49304347826086947,-0.5408695652173913,-0.010322207215898146
cachedE20_full,dmean,0.1,1.0,C4,-0.1617391304347826,-0.9382608695652173,-0.45565217391304336,-0.5186185606791435
cachedE20_full,dmean,0.1,1.0,C5,-0.39826086956521745,0.013043478260869573,-0.46608695652173915,-0.3033957167663516
cachedE20_full,dmean,0.1,1.0,C6,-0.13739130434782607,0.08434782608695653,-0.5608695652173912,-0.13161618110489423
cachedE20_full,dmean,0.1,1.0,C7,0.14956521739130435,0.4539130434782608,0.16086956521739126,0.2706283362274101
cachedE20_full,dmean,0.1,1.0,C8,0.3356521739130435,-0.5330434782608695,-0.23826086956521733,-0.162389864299955
