target,outcome,attributor,rho,ceiling_6seed,ratio,p_onesided,half_ceiling_bar,focal,PASS
C7,neg_plain_loss,TracIn,0.38434782608695645,0.9151966795585321,0.4199619979744203,0.03184411200906028,0.45759833977926606,False,False
C7,logit_success,IF,-0.13130434782608694,0.6241260167780022,-0.21038114787128173,0.7295905323003236,0.3120630083890011,False,False
C7,logit_success,TRAK,-0.35478260869565215,0.6241260167780022,-0.5684470750429335,0.955541284463427,0.3120630083890011,False,False
C7,logit_success,TracIn,0.021739130434782605,0.6241260167780022,0.03483131587272876,0.45984438371831365,0.3120630083890011,False,False
C7,neg_transport_loss,IF,0.02260869565217391,0.9109848484848484,0.02481786133960047,0.4582435215168909,0.4554924242424242,False,False
C7,neg_transport_loss,TRAK,0.25999999999999995,0.9109848484848484,0.2854054054054054,0.1099159800849677,0.4554924242424242,False,False
C7,neg_transport_loss,TracIn,0.35913043478260864,0.9109848484848484,0.394222182048269,0.04240028804083744,0.4554924242424242,False,False
C7,neg_interaction_loss,IF,0.468695652173913,0.9007312526884291,0.5203501607998928,0.01043881630485615,0.45036562634421456,False,True
C7,neg_interaction_loss,TRAK,0.3782608695652173,0.9007312526884291,0.41994864554351274,0.034184484161103056,0.45036562634421456,False,False
C7,neg_interaction_loss,TracIn,0.33652173913043476,0.9007312526884291,0.37360948465595273,0.0539281005963737,0.45036562634421456,False,False
C8,neg_plain_loss,IF,-0.3313043478260869,0.9097459233978006,-0.3641723906700255,0.9431122532625987,0.4548729616989003,False,False
C8,neg_plain_loss,TRAK,0.3217391304347825,0.9097459233978006,0.3536582271598672,0.06261972933243162,0.4548729616989003,False,False
C8,neg_plain_loss,TracIn,-0.2452173913043478,0.9097459233978006,-0.26954491907860156,0.8759393504622491,0.4548729616989003,False,False
C8,logit_success,IF,0.006956521739130434,0.499474514222627,0.013927681074894156,0.4871320302666262,0.2497372571113135,False,False
